Sample,Pitch,P_Anteil,I_Anteil,D_Anteil,PWM
530,-0.23,3.5,0,1.8,80
531,-0.52,7.7,0,28.3,80
532,-0.48,7.2,0,-3.8,50
533,-1,15,0,52.1,67
534,-0.58,8.7,0,-41.9,-80
535,-0.03,0.5,0,-54.9,-80
536,0.28,-4.2,0,-30.9,-80
537,0.62,-9.4,0,-34.5,-80
538,0.92,-13.7,0,-29.1,-80
539,1.22,-18.3,0,-30.5,-80
540,1.51,-22.6,0,-28.9,-80
541,1.35,-20.3,0,15.7,-50
542,1.17,-17.5,0,18.6,80
543,0.91,-13.7,0,25.6,80
544,0.59,-8.9,0,31.7,80
545,0.52,-7.9,0,7,0
546,0.56,-8.4,0,-3.6,-80
547,0.64,-9.7,0,-8.3,-80
548,0.7,-10.5,0,-5.9,-80
549,0.79,-11.9,0,-9.2,-80
550,1.12,-16.8,0,-32.3,-80
551,1.18,-17.7,0,-6,-80
552,0.88,-13.2,0,29.6,80
553,0.63,-9.4,0,25.2,80
554,-0.05,0.7,0,67.6,80
555,-0.47,7.1,0,42.7,80
556,-0.66,9.9,0,19,80
557,-0.85,12.8,0,18.9,80
558,-0.81,12.2,0,-4,80
559,-0.9,13.5,0,8.9,50
560,-0.69,10.3,0,-21.4,-80
561,-0.05,0.7,0,-64,-80
562,0.29,-4.4,0,-34.2,-80
563,0.67,-10,0,-37.1,-80
564,1.05,-15.8,0,-38.8,-80
565,1.23,-18.4,0,-17.6,-80
566,1.17,-17.6,0,6,-80
567,0.94,-14.1,0,22.7,80
568,0.68,-10.2,0,26,80
569,0.28,-4.3,0,39.9,80
570,0.08,-1.2,0,20.4,80
571,0.06,-0.8,0,2.4,80
572,0.17,-2.5,0,-11.1,-80
573,0.19,-2.9,0,-2.3,-80
574,0.29,-4.3,0,-9.8,-80
575,0.47,-7.1,0,-18.5,-80
576,0.76,-11.4,0,-28.7,-80
577,0.71,-10.6,0,5.4,-80
578,0.48,-7.2,0,22.8,80
579,0.23,-3.4,0,25,80
580,0.05,-0.7,0,18.2,80
581,-0.02,0.2,0,6.1,80
582,-0.01,0.1,0,-0.6,0
583,0.04,-0.6,0,-4.6,-80
584,0.13,-1.9,0,-9.3,-80
585,0.25,-3.8,0,-12.4,-80
586,0.33,-4.9,0,-7.5,-80
587,0.37,-5.5,0,-4,-80
588,0.47,-7,0,-9.8,-80
589,0.62,-9.3,0,-15.6,-80
590,0.29,-4.4,0,32.8,80
591,0.19,-2.8,0,10.7,80
592,-0.14,2.1,0,32.9,80
593,-0.56,8.4,0,42,80
594,-0.67,10.1,0,11.1,80
595,-0.76,11.4,0,8.7,80
596,-0.72,10.8,0,-4.2,80
597,-0.82,12.3,0,10,50
598,-0.6,9,0,-21.5,-80
599,-0.33,4.9,0,-27.7,-80
600,0.14,-2.1,0,-46.5,-80
601,0.6,-9,0,-46.1,-80
602,1.2,-18,0,-60.2,-80
603,1.66,-24.9,0,-45.6,-80
604,2.29,-34.3,0,-63,-97
605,2.17,-32.6,0,11.4,-80
606,2.07,-31,0,10.8,-80
607,1.89,-28.3,0,17.8,-80
608,1.52,-22.8,0,36.5,80
609,1.52,-22.7,0,0.7,-80
610,1.07,-16.1,0,44.5,80
611,0.83,-12.4,0,24.6,80
612,0.56,-8.5,0,26.2,80
613,0.23,-3.4,0,33.8,80
614,0.11,-1.6,0,11.9,80
615,-0.57,8.5,0,67.5,80
616,-0.65,9.8,0,8.1,80
617,-0.5,7.5,0,-15.3,-80
618,-0.04,0.6,0,-45.8,-80
619,0.31,-4.6,0,-34.7,-80
620,0.61,-9.1,0,-29.8,-80
621,1.1,-16.5,0,-49.5,-80
622,1.48,-22.2,0,-37.8,-80
623,1.6,-23.9,0,-11.8,-80
624,1.72,-25.8,0,-12.4,-50
625,1.59,-23.8,0,13.4,-50
626,1.38,-20.7,0,20.5,0
627,1.01,-15.2,0,36.9,80
628,0.65,-9.7,0,36.3,80
629,0.5,-7.5,0,15.2,80
630,0.33,-5,0,16.5,80
631,0.18,-2.7,0,15,80
632,0.01,-0.1,0,17.3,80
633,-0.1,1.5,0,10.6,80
634,0.02,-0.4,0,-12.1,-80
635,0.45,-6.7,0,-42.3,-80
636,0.81,-12.2,0,-36.8,-80
637,1.26,-18.9,0,-44.3,-80
638,1.62,-24.2,0,-35.8,-80
639,2.24,-33.5,0,-62,-95
640,2.09,-31.3,0,14.7,-80
641,1.65,-24.7,0,44,80
642,1.33,-20,0,31.5,80
643,0.88,-13.3,0,45,80
644,0.69,-10.4,0,19.1,80
645,0.69,-10.4,0,0.1,-80
646,0.73,-10.9,0,-3.5,-80
647,0.79,-11.8,0,-5.9,-80
648,0.87,-13,0,-8.2,-80
649,0.83,-12.4,0,4.1,-80
650,0.59,-8.9,0,23.4,80
651,0.74,-11.1,0,-14.8,-80
652,0.41,-6.1,0,33.6,80
653,0.08,-1.2,0,32.8,80
654,-0.11,1.6,0,18.3,80
655,-0.13,1.9,0,2,80
656,-0.09,1.3,0,-4,-80
657,-0.07,1,0,-2,-80
658,0,-0,0,-6.8,-80
659,0.05,-0.7,0,-4.3,-80
660,0.07,-1.1,0,-2.6,-80
661,0.09,-1.3,0,-1.5,-80
662,0.56,-8.5,0,-47.7,-80
663,0.41,-6.1,0,15.9,80
664,0.07,-1,0,34,80
665,-0.31,4.7,0,37.8,80
666,-0.54,8.1,0,22.5,80
